ICD9,DESCRIPTION
01354,Tuberculoma of brain and spinal cord
01355,Tuberculoma of brain and spinal cord
01356,Tuberculoma of brain and spinal cord
01360,Tuberculous meningoencephalitis
01361,Tuberculous meningoencephalitis
01362,Tuberculous meningoencephalitis
01363,Tuberculous meningoencephalitis
01364,Tuberculous meningoencephalitis
01365,Tuberculous meningoencephalitis
01366,Tuberculous meningoencephalitis
01380,Other tuberculosis of nervous system
01381,Other tuberculosis of nervous system
01382,Other tuberculosis of nervous system
01383,Other tuberculosis of nervous system
01384,Other tuberculosis of nervous system
01385,Other tuberculosis of nervous system
01386,Other tuberculosis of nervous system
01390,Tuberculosis of nervous system
01391,Tuberculosis of nervous system
01392,Tuberculosis of nervous system
01393,Tuberculosis of nervous system
01394,Tuberculosis of nervous system
01395,Tuberculosis of nervous system
01396,Tuberculosis of nervous system
01400,Tuberculous peritonitis
01401,Tuberculous peritonitis
01402,Tuberculous peritonitis
01403,Tuberculous peritonitis
01404,Tuberculous peritonitis
01405,Tuberculous peritonitis
01406,Tuberculous peritonitis
01480,Tuberculous enteritis
01481,Tuberculous enteritis
01482,Tuberculous enteritis
01483,Tuberculous enteritis
01484,Tuberculous enteritis
01485,Tuberculous enteritis
01486,Tuberculous enteritis
01500,Tuberculosis of spine
01501,Tuberculosis of spine
01502,Tuberculosis of spine
01503,Tuberculosis of spine
01504,Tuberculosis of spine
01505,Tuberculosis of spine
01506,Tuberculosis of spine
01510,Tuberculous arthritis of other joints
01511,Tuberculous arthritis of other joints
01512,Tuberculous arthritis of other joints
01513,Tuberculous arthritis of other joints
01514,Tuberculous arthritis of other joints
01515,Tuberculous arthritis of other joints
01516,Tuberculous arthritis of other joints
01520,Tuberculous arthritis of other joints
01521,Tuberculous arthritis of other joints
01522,Tuberculous arthritis of other joints
01523,Tuberculous arthritis of other joints
01524,Tuberculous arthritis of other joints
01525,Tuberculous arthritis of other joints
01526,Tuberculous arthritis of other joints
01550,Tuberculosis of other bones
01551,Tuberculosis of other bones
01552,Tuberculosis of other bones
01553,Tuberculosis of other bones
01554,Tuberculosis of other bones
01555,Tuberculosis of other bones
01556,Tuberculosis of other bones
01560,Tuberculosis of other bones
01561,Tuberculosis of other bones
01562,Tuberculosis of other bones
01563,Tuberculosis of other bones
01564,Tuberculosis of other bones
01565,Tuberculosis of other bones
01566,Tuberculosis of other bones
01570,Tuberculosis of other bones
01571,Tuberculosis of other bones
01572,Tuberculosis of other bones
01573,Tuberculosis of other bones
01574,Tuberculosis of other bones
01575,Tuberculosis of other bones
01576,Tuberculosis of other bones
01580,Tuberculous arthritis of other joints
01581,Tuberculous arthritis of other joints
01582,Tuberculous arthritis of other joints
01583,Tuberculous arthritis of other joints
01584,Tuberculous arthritis of other joints
01585,Tuberculous arthritis of other joints
01586,Tuberculous arthritis of other joints
01590,Tuberculous arthritis of other joints
01591,Tuberculous arthritis of other joints
01592,Tuberculous arthritis of other joints
01593,Tuberculous arthritis of other joints
01594,Tuberculous arthritis of other joints
01595,Tuberculous arthritis of other joints
01596,Tuberculous arthritis of other joints
01600,Tuberculosis of kidney and ureter
01601,Tuberculosis of kidney and ureter
01602,Tuberculosis of kidney and ureter
01603,Tuberculosis of kidney and ureter
01604,Tuberculosis of kidney and ureter
01605,Tuberculosis of kidney and ureter
01606,Tuberculosis of kidney and ureter
01610,Tuberculosis of bladder
01611,Tuberculosis of bladder
01612,Tuberculosis of bladder
01613,Tuberculosis of bladder
01614,Tuberculosis of bladder
01615,Tuberculosis of bladder
01616,Tuberculosis of bladder
01620,Tuberculosis of kidney and ureter
01621,Tuberculosis of kidney and ureter
01622,Tuberculosis of kidney and ureter
01623,Tuberculosis of kidney and ureter
01624,Tuberculosis of kidney and ureter
01625,Tuberculosis of kidney and ureter
01626,Tuberculosis of kidney and ureter
01630,Tuberculosis of other urinary organs
01631,Tuberculosis of other urinary organs
01632,Tuberculosis of other urinary organs
01633,Tuberculosis of other urinary organs
01634,Tuberculosis of other urinary organs
01635,Tuberculosis of other urinary organs
01636,Tuberculosis of other urinary organs
01640,Tuberculosis of other male genital organs
01641,Tuberculosis of other male genital organs
01642,Tuberculosis of other male genital organs
01643,Tuberculosis of other male genital organs
01644,Tuberculosis of other male genital organs
01645,Tuberculosis of other male genital organs
01646,Tuberculosis of other male genital organs
01650,Tuberculosis of other male genital organs
01651,Tuberculosis of other male genital organs
01652,Tuberculosis of other male genital organs
01653,Tuberculosis of other male genital organs
01654,Tuberculosis of other male genital organs
01655,Tuberculosis of other male genital organs
01656,Tuberculosis of other male genital organs
01660,Tuberculous female pelvic inflammatory disease
01661,Tuberculous female pelvic inflammatory disease
01662,Tuberculous female pelvic inflammatory disease
01663,Tuberculous female pelvic inflammatory disease
01664,Tuberculous female pelvic inflammatory disease
01665,Tuberculous female pelvic inflammatory disease
01666,Tuberculous female pelvic inflammatory disease
01670,Tuberculosis of other female genital organs
01671,Tuberculosis of other female genital organs
01672,Tuberculosis of other female genital organs
01673,Tuberculosis of other female genital organs
01674,Tuberculosis of other female genital organs
01675,Tuberculosis of other female genital organs
01676,Tuberculosis of other female genital organs
01690,Tuberculosis of genitourinary system
01691,Tuberculosis of genitourinary system
01692,Tuberculosis of genitourinary system
01693,Tuberculosis of genitourinary system
01694,Tuberculosis of genitourinary system
01695,Tuberculosis of genitourinary system
01696',Tuberculosis of genitourinary system
01700,Tuberculosis of skin and subcutaneous tissue
01701,Tuberculosis of skin and subcutaneous tissue
01702,Tuberculosis of skin and subcutaneous tissue
01703,Tuberculosis of skin and subcutaneous tissue
01704,Tuberculosis of skin and subcutaneous tissue
01705,Tuberculosis of skin and subcutaneous tissue
01706,Tuberculosis of skin and subcutaneous tissue
01710,Tuberculosis of skin and subcutaneous tissue
01711,Tuberculosis of skin and subcutaneous tissue
01712,Tuberculosis of skin and subcutaneous tissue
01713,Tuberculosis of skin and subcutaneous tissue
01714,Tuberculosis of skin and subcutaneous tissue
01715,Tuberculosis of skin and subcutaneous tissue
01716,Tuberculosis of skin and subcutaneous tissue
01720,Tuberculous peripheral lymphadenopathy
01721,Tuberculous peripheral lymphadenopathy
01722,Tuberculous peripheral lymphadenopathy
01723,Tuberculous peripheral lymphadenopathy
01724,Tuberculous peripheral lymphadenopathy
01725,Tuberculous peripheral lymphadenopathy
01726,Tuberculous peripheral lymphadenopathy
01730,Tuberculosis of eye
01731,Tuberculous episcleritis
01732,Tuberculous episcleritis
01733,Tuberculous episcleritis
01734,Tuberculous episcleritis
01735,Tuberculous episcleritis
01736,Tuberculous episcleritis
01740,Tuberculosis of (inner) (middle) ear
01741,Tuberculosis of (inner) (middle) ear
01742,Tuberculosis of (inner) (middle) ear
01743,Tuberculosis of (inner) (middle) ear
01744,Tuberculosis of (inner) (middle) ear
01745,Tuberculosis of (inner) (middle) ear
01746,Tuberculosis of (inner) (middle) ear
01750,Tuberculosis of thyroid gland
01751,Tuberculosis of thyroid gland
01752,Tuberculosis of thyroid gland
01753,Tuberculosis of thyroid gland
01754,Tuberculosis of thyroid gland
01755,Tuberculosis of thyroid gland
01756,Tuberculosis of thyroid gland
01760,Tuberculosis of adrenal glands
01761,Tuberculosis of adrenal glands
01762,Tuberculosis of adrenal glands
01763,Tuberculosis of adrenal glands
01764,Tuberculosis of adrenal glands
01765,Tuberculosis of adrenal glands
01766,Tuberculosis of adrenal glands
01770,Tuberculosis of spleen
01771,Tuberculosis of spleen
01772,Tuberculosis of spleen
01773,Tuberculosis of spleen
01774,Tuberculosis of spleen
01775,Tuberculosis of spleen
01776,Tuberculosis of spleen
01780,Tuberculosis of other sites
01781,Tuberculosis of other sites
01782,Tuberculosis of other sites
01783,Tuberculosis of other sites
01784,Tuberculosis of other sites
01785,Tuberculosis of other sites
01786,Tuberculosis of other sites
01790,Tuberculosis of heart
01791,Tuberculosis of other sites
01792,Tuberculosis of other sites
01793,Tuberculosis of other sites
01794,Tuberculosis of other sites
01795,Tuberculosis of other sites
01796,Tuberculosis of other sites
01800,Acute miliary tuberculosis
01801,Acute miliary tuberculosis
01802,Acute miliary tuberculosis
01803,Acute miliary tuberculosis
01804,Acute miliary tuberculosis
01805,Acute miliary tuberculosis
01806,Acute miliary tuberculosis
01880,Other miliary tuberculosis
01881,Other miliary tuberculosis
01882,Other miliary tuberculosis
01883,Other miliary tuberculosis
01884,Other miliary tuberculosis
01885,Other miliary tuberculosis
01886,Other miliary tuberculosis
01890,Miliary tuberculosis
01891,Miliary tuberculosis
01892,Miliary tuberculosis
01893,Miliary tuberculosis
01894,Miliary tuberculosis
01895,Miliary tuberculosis
01896,Miliary tuberculosis
0200,Bubonic plague
0201,Cellulocutaneous plague
0202,Septicemic plague
0203,Pneumonic plague
0204,Pneumonic plague
0205,Pneumonic plague
0208,Other forms of plague
0209,Plague
0210,Ulceroglandular tularemia
0211,Gastrointestinal tularemia
0212,Pulmonary tularemia
0213,Oculoglandular tularemia
0218,Other forms of tularemia
0219,Tularemia
0220,Cutaneous anthrax
0221,Pulmonary anthrax
0222,Gastrointestinal anthrax
0223,Anthrax sepsis
0228,Other forms of anthrax
0229,Anthrax
0230,Brucellosis due to Brucella melitensis
0231,Brucellosis due to Brucella abortus
0232,Brucellosis due to Brucella suis
0233,Brucellosis due to Brucella canis
0238,Other brucellosis
0239,Brucellosis
024,Glanders
025,Other melioidosis
0260,Spirillosis
0261,Streptobacillosis
0269,Rat-bite fever
0270,Listerial meningitis
0271,Other forms of erysipeloid
0272,Pasteurellosis
0278,Other specified zoonotic bacterial diseases
0279,Zoonotic bacterial disease
0300,Lepromatous leprosy
0301,Tuberculoid leprosy
0302,Indeterminate leprosy
0303,Borderline leprosy
0308,Other forms of leprosy
0309,Leprosy
0310,Pulmonary mycobacterial infection
0311,Cutaneous mycobacterial infection
0312,Disseminated mycobacterium avium-intracellulare complex (DMAC)
0318,Other mycobacterial infections
0319,Mycobacterial infection
0320,Pharyngeal diphtheria
0321,Nasopharyngeal diphtheria
0322,Other diphtheritic complications
0323,Laryngeal diphtheria
03281,Diphtheritic conjunctivitis
03282,Diphtheritic cardiomyopathy
03283,Other diphtheritic complications
03284,Diphtheritic cystitis
03285,Cutaneous diphtheria
03289,Diphtheritic radiculomyelitis
0329,Diphtheria
0330,Whooping cough due to Bordetella pertussis without pneumonia
0331,Whooping cough due to Bordetella parapertussis without pneumonia
0338,Whooping cough due to other Bordetella species without pneumonia
0339,Whooping cough
0340,Streptococcal pharyngitis
0341,Scarlet fever
035,Erysipelas
0360,Meningococcal meningitis
0361,Meningococcal encephalitis
0362,Meningococcemia
0363,Waterhouse-Friderichsen syndrome
03640,Meningococcal carditis
03641,Meningococcal pericarditis
03642,Meningococcal endocarditis
03643,Meningococcal myocarditis
03681,Meningococcal retrobulbar neuritis
03682,Meningococcal arthritis
03689,Other meningococcal infections
0369,Meningococcal infection
037,Other tetanus
0380,Streptococcal sepsis
03810,Sepsis due to unspecified staphylococcus
03811,Sepsis due to Methicillin susceptible Staphylococcus aureus
03812,Sepsis due to Methicillin resistant Staphylococcus aureus
03819,Sepsis due to other specified staphylococcus
0382,Sepsis due to Streptococcus pneumoniae
0383,Sepsis due to anaerobes
03840,Gram-negative sepsis
03841,Sepsis due to Hemophilus influenzae
03842,Sepsis due to Escherichia coli [E coli]
03843,Sepsis due to Pseudomonas
03844,Sepsis due to Serratia
03849,Other Gram-negative sepsis
0388,Other specified sepsis
0389,Sepsis
0390,Erythrasma
0391,Pulmonary actinomycosis
0392,Abdominal actinomycosis
0393,Cervicofacial actinomycosis
0394,Mycetoma
0398,Other forms of actinomycosis
0399,Actinomycosis
0400,Gas gangrene
0401,Other specified bacterial diseases
0402,Whipple's disease
0403,Other specified bacterial diseases
04041,Infant botulism
04042,Wound botulism
04081,Infective myositis
04082,Toxic shock syndrome
04089,Other specified bacterial diseases
04100,Unspecified streptococcus as the cause of diseases classified elsewhere
04101,Streptococcus
04102,Streptococcus
04103,Other streptococcus as the cause of diseases classified elsewhere
04104,Enterococcus as the cause of diseases classified elsewhere
04105,Other streptococcus as the cause of diseases classified elsewhere
04109,Other streptococcus as the cause of diseases classified elsewhere
04110,Unspecified staphylococcus as the cause of diseases classified elsewhere
04111,Methicillin susceptible Staphylococcus aureus infection as the cause of diseases classified elsewhere
04112,Methicillin resistant Staphylococcus aureus infection as the cause of diseases classified elsewhere
04119,Other staphylococcus as the cause of diseases classified elsewhere
0412,Streptococcus pneumoniae as the cause of diseases classified elsewhere
0413,Klebsiella pneumoniae [K pneumoniae] as the cause of diseases classified elsewhere
04141,Shiga toxin-producing Escherichia coli [E coli] (STEC) O157 as the cause of diseases classified elsewhere
04142,Other specified Shiga toxin-producing Escherichia coli [E coli] (STEC) as the cause of diseases classified elsewhere
04143,Unspecified Shiga toxin-producing Escherichia coli [E coli] (STEC) as the cause of diseases classified elsewhere
04149,Unspecified Escherichia coli [E coli] as the cause of diseases classified elsewhere
0415,Hemophilus influenzae [H influenzae] as the cause of diseases classified elsewhere
0416,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere
0417,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere
04181,Mycoplasma infection
04182,Bacteroides fragilis [B fragilis] as the cause of diseases classified elsewhere
04183,Clostridium perfringens [C perfringens] as the cause of diseases classified elsewhere
04184,Other specified bacterial agents as the cause of diseases classified elsewhere
04185,Other specified bacterial agents as the cause of diseases classified elsewhere
04186,Helicobacter pylori [H pylori] as the cause of diseases classified elsewhere
04189,Other specified bacterial agents as the cause of diseases classified elsewhere
0419,Other specified bacterial agents as the cause of diseases classified elsewhere
042,Human immunodeficiency virus [HIV] disease
04500,Other acute paralytic poliomyelitis
04501,Other acute paralytic poliomyelitis
04502,Other acute paralytic poliomyelitis
04503,Other acute paralytic poliomyelitis
04510,Other acute paralytic poliomyelitis
04511,Other acute paralytic poliomyelitis
04512,Other acute paralytic poliomyelitis
04513,Other acute paralytic poliomyelitis
04520,Acute nonparalytic poliomyelitis
04521,Acute nonparalytic poliomyelitis
04522,Acute nonparalytic poliomyelitis
04523,Acute nonparalytic poliomyelitis
04590,Acute poliomyelitis
04591,Acute poliomyelitis
04592,Acute poliomyelitis
04593,Acute poliomyelitis
0460,Kuru
04611,Variant Creutzfeldt-Jakob disease
04619,Creutzfeldt-Jakob disease
0462,Subacute sclerosing panencephalitis
0463,Progressive multifocal leukoencephalopathy
04671,Gerstmann-Straussler-Scheinker syndrome
04672,Fatal familial insomnia
04679,Other atypical virus infections of central nervous system
0468,Other atypical virus infections of central nervous system
0469,Atypical virus infection of central nervous system
0470,Enteroviral meningitis
0471,Enteroviral meningitis
0478,Other viral meningitis
0479,Viral meningitis
048,Enteroviral exanthematous fever [Boston exanthem]
0490,Lymphocytic choriomeningitis
0491,Adenoviral meningitis
0498,Other specified viral infections of central nervous system
0499,Unspecified viral infection of central nervous system
0500,Smallpox
0501,Smallpox
0502,Smallpox
0509,Smallpox
05101,Cowpox
05102,Vaccinia not from vaccine
0511,Pseudocowpox [milker's node]
0512,Orf virus disease
0519,Paravaccinia
0520,Varicella encephalitis and encephalomyelitis
0521,Varicella pneumonia
0522,Varicella myelitis
0527,Varicella meningitis
0528,Other varicella complications
0529,Varicella without complication
0530,Zoster meningitis
05310,Other postherpetic nervous system involvement
05311,Postherpetic geniculate ganglionitis
05312,Postherpetic trigeminal neuralgia
05313,Postherpetic polyneuropathy
05314,Postherpetic myelitis
05319,Other postherpetic nervous system involvement
05320,Other herpes zoster eye disease
05321,Zoster keratitis
05322,Zoster iridocyclitis
05329,Other herpes zoster eye disease
05371,Zoster with other complications
05379,Zoster with other complications
0538,Zoster with other complications
0539,Zoster without complications
0540,Eczema herpeticum
05410,Anogenital herpesviral infection
05411,Herpesviral vulvovaginitis
05412,Herpesviral vulvovaginitis
05413,Herpesviral infection of penis
05419,Herpesviral infection of other urogenital tract
0542,Herpesviral gingivostomatitis and pharyngotonsillitis
0543,Herpesviral encephalitis
05440,Herpesviral ocular disease
05441,Other herpesviral disease of eye
05442,Herpesviral keratitis
05443,Herpesviral keratitis
05444,Herpesviral iridocyclitis
05449,Other herpesviral disease of eye
0545,Disseminated herpesviral disease
0546,Other herpesviral infection
05471,Herpesviral hepatitis
05472,Herpesviral meningitis
05473,Herpesviral vesicular dermatitis
05474,Herpes simplex myelitis
05479,Other herpesviral infection
0548,Herpesviral infection
0549,Herpesviral infection
0550,Measles complicated by encephalitis
0551,Measles complicated by pneumonia
0552,Measles complicated by otitis media
05571,Measles keratitis and keratoconjunctivitis
05579,Measles complicated by meningitis
0558,Other measles complications
0559,Measles without complication
05600,Rubella with neurological complication
05601,Rubella encephalitis
05609,Other neurological complications of rubella
05671,Rubella arthritis
05679,Other rubella complications
0568,Other rubella complications
0569,Rubella without complication
0570,Erythema infectiosum [fifth disease]
0578,Infantile papular acrodermatitis [Gianotti-Crosti]
0579,Unspecified viral infection characterized by skin and mucous membrane lesions
05810,Exanthema subitum [sixth disease]
05811,Exanthema subitum [sixth disease] due to human herpesvirus 6
05812,Exanthema subitum [sixth disease] due to human herpesvirus 7
05821,Human herpesvirus 6 encephalitis
05829,Other human herpesvirus encephalitis
05881,Human herpesvirus 6 infection
05882,Human herpesvirus 7 infection
05889,Other human herpesvirus infection
05900,Other orthopoxvirus infections
05901,Monkeypox
05909,Other orthopoxvirus infections
05910,Parapoxvirus infection
05911,Bovine stomatitis
05912,Sealpox
05919,Other parapoxvirus infections
05920,Yatapoxvirus infection
05921,Tanapox virus disease
05922,Yaba pox virus disease
0598,Other specified viral infections characterized by skin and mucous membrane lesions
0599,Other specified viral infections characterized by skin and mucous membrane lesions
0600,Sylvatic yellow fever
0601,Urban yellow fever
0609,Yellow fever
061,Dengue fever [classical dengue]
0620,Japanese encephalitis
0621,Western equine encephalitis
0622,Eastern equine encephalitis
0623,St Louis encephalitis
0624,Australian encephalitis
0625,California encephalitis
0628,Other mosquito-borne viral encephalitis
0629,Mosquito-borne viral encephalitis
0630,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
0631,Other tick-borne viral encephalitis
0632,Central European tick-borne encephalitis
0638,Other tick-borne viral encephalitis
0639,Tick-borne viral encephalitis
064,Arthropod-borne viral encephalitis
0650,Crimean-Congo hemorrhagic fever
0651,Omsk hemorrhagic fever
0652,Kyasanur Forest disease
0653,Other specified viral hemorrhagic fevers
0654,Dengue hemorrhagic fever
0658,Other specified viral hemorrhagic fevers
0659,Unspecified viral hemorrhagic fever
0660,Sandfly fever
0661,Colorado tick fever
0662,Venezuelan equine fever
0663,Other specified mosquito-borne viral fevers
06640,West Nile virus infection
06641,West Nile virus infection with encephalitis
06642,West Nile virus infection with other neurologic manifestation
06649,West Nile virus infection with other complications
0668,Other specified arthropod-borne viral fevers
0669,Unspecified arthropod-borne viral fever
0700,Hepatitis A with hepatic coma
0701,Hepatitis A without hepatic coma
07020,Unspecified viral hepatitis B with hepatic coma
07021,Acute hepatitis B with delta-agent with hepatic coma
07022,Chronic viral hepatitis B without delta-agent
07023,Chronic viral hepatitis B with delta-agent
07030,Unspecified viral hepatitis B without hepatic coma
07031,Acute hepatitis B with delta-agent without hepatic coma
07032,Chronic viral hepatitis B without delta-agent
07033,Chronic viral hepatitis B with delta-agent
07041,Acute hepatitis C with hepatic coma
07042,Acute delta-(super) infection of hepatitis B carrier
07043,Acute hepatitis E
07044,Chronic viral hepatitis C
07049,Other specified acute viral hepatitis
07051,Acute hepatitis C without hepatic coma
07052,Acute delta-(super) infection of hepatitis B carrier
07053,Acute hepatitis E
07054,Chronic viral hepatitis C
07059,Other specified acute viral hepatitis
0706,Unspecified viral hepatitis with hepatic coma
07070,Unspecified viral hepatitis C without hepatic coma
